Epsilon,Initial Accuracy,Robust Accuracy,Max Perturbation
0.03137254901960784,93.75,1.5625,0.03137257695198059
0.03137254901960784,90.625,0.0,0.03137257695198059
0.03137254901960784,93.75,1.5625,0.03137257695198059
0.03137254901960784,91.40625,0.0,0.03137257695198059
0.03137254901960784,95.3125,0.78125,0.03137257695198059
0.03137254901960784,87.5,0.0,0.03137257695198059
0.03137254901960784,90.625,2.34375,0.03137257695198059
0.03137254901960784,86.71875,0.0,0.03137257695198059
0.03137254901960784,88.28125,1.5625,0.03137257695198059
0.03137254901960784,88.28125,0.0,0.03137257695198059
0.03137254901960784,95.3125,2.34375,0.03137257695198059
0.03137254901960784,92.1875,2.34375,0.03137257695198059
0.03137254901960784,92.96875,1.5625,0.03137257695198059
0.03137254901960784,89.0625,2.34375,0.03137257695198059
0.03137254901960784,86.71875,1.5625,0.03137257695198059
0.03137254901960784,87.5,0.78125,0.03137257695198059
0.03137254901960784,92.1875,2.34375,0.03137257695198059
0.03137254901960784,91.40625,1.5625,0.03137257695198059
0.03137254901960784,90.625,2.34375,0.03137257695198059
0.03137254901960784,87.5,3.125,0.03137257695198059
0.03137254901960784,89.0625,0.0,0.03137257695198059
0.03137254901960784,92.1875,2.34375,0.03137257695198059
0.03137254901960784,91.40625,0.0,0.03137257695198059
0.03137254901960784,88.28125,2.34375,0.03137257695198059
0.03137254901960784,91.40625,1.5625,0.03137257695198059
0.03137254901960784,93.75,0.0,0.03137257695198059
0.03137254901960784,87.5,2.34375,0.03137257695198059
0.03137254901960784,96.09375,0.78125,0.03137257695198059
0.03137254901960784,89.84375,1.5625,0.03137257695198059
0.03137254901960784,86.71875,0.78125,0.03137257695198059
0.03137254901960784,92.96875,0.78125,0.03137257695198059
0.03137254901960784,91.40625,0.0,0.03137257695198059
0.03137254901960784,92.1875,3.125,0.03137257695198059
0.03137254901960784,93.75,3.125,0.03137257695198059
0.03137254901960784,90.625,2.34375,0.03137257695198059
0.03137254901960784,87.5,0.78125,0.03137257695198059
0.03137254901960784,89.84375,0.78125,0.03137257695198059
0.03137254901960784,95.3125,3.125,0.03137257695198059
0.03137254901960784,89.84375,0.78125,0.03137257695198059
0.03137254901960784,94.53125,1.5625,0.03137257695198059
0.03137254901960784,87.5,1.5625,0.03137257695198059
0.03137254901960784,96.09375,1.5625,0.03137257695198059
0.03137254901960784,86.71875,0.78125,0.03137257695198059
0.03137254901960784,87.5,2.34375,0.03137257695198059
0.03137254901960784,92.96875,0.0,0.03137257695198059
0.03137254901960784,91.40625,2.34375,0.03137257695198059
0.03137254901960784,94.53125,0.78125,0.03137257695198059
0.03137254901960784,88.28125,2.34375,0.03137257695198059
0.03137254901960784,90.625,0.78125,0.03137257695198059
0.03137254901960784,94.53125,2.34375,0.03137257695198059
0.03137254901960784,90.625,0.0,0.03137257695198059
0.03137254901960784,90.625,2.34375,0.03137257695198059
0.03137254901960784,95.3125,3.125,0.03137257695198059
0.03137254901960784,91.40625,0.0,0.03137257695198059
0.03137254901960784,89.84375,0.0,0.03137257695198059
0.03137254901960784,89.0625,1.5625,0.03137257695198059
0.03137254901960784,91.40625,0.0,0.03137257695198059
0.03137254901960784,92.96875,0.0,0.03137257695198059
0.03137254901960784,90.625,0.78125,0.03137257695198059
0.03137254901960784,92.1875,0.0,0.03137257695198059
0.03137254901960784,89.0625,0.78125,0.03137257695198059
0.03137254901960784,87.5,2.34375,0.03137257695198059
0.03137254901960784,89.0625,0.78125,0.03137257695198059
0.03137254901960784,91.40625,0.0,0.03137257695198059
0.03137254901960784,89.84375,1.5625,0.03137257695198059
0.03137254901960784,92.96875,0.0,0.03137257695198059
0.03137254901960784,89.0625,1.5625,0.03137257695198059
0.03137254901960784,85.9375,1.5625,0.03137257695198059
0.03137254901960784,89.0625,0.0,0.03137257695198059
0.03137254901960784,93.75,0.78125,0.03137257695198059
0.03137254901960784,91.40625,2.34375,0.03137257695198059
0.03137254901960784,92.1875,0.78125,0.03137257695198059
0.03137254901960784,90.625,0.78125,0.03137257695198059
0.03137254901960784,90.625,0.78125,0.03137257695198059
0.03137254901960784,89.84375,4.6875,0.03137257695198059
0.03137254901960784,91.40625,0.78125,0.03137257695198059
0.03137254901960784,89.0625,0.78125,0.03137257695198059
0.03137254901960784,92.1875,0.0,0.03137257695198059
0.03137254901960784,93.75,6.25,0.03137257695198059

Mean for Epsilon,Mean Initial Accuracy,Mean Robust Accuracy,Mean Max Perturbation
0.03137254901960784,90.87223101265823,1.3350474683544304,0.03137257695198059
