Epsilon,Initial Accuracy,Robust Accuracy,Max Perturbation
0.031,93.75,0.78125,0.03100001811981201
0.031,90.625,0.0,0.03100001811981201
0.031,93.75,1.5625,0.03100001811981201
0.031,91.40625,0.0,0.03100001811981201
0.031,95.3125,1.5625,0.03100001811981201
0.031,87.5,0.0,0.03100001811981201
0.031,90.625,2.34375,0.03100001811981201
0.031,85.57692307692307,0.0,0.03100001811981201

Mean for Epsilon,Mean Initial Accuracy,Mean Robust Accuracy,Mean Max Perturbation
0.031,91.06820913461539,0.78125,0.03100001811981201
