Epsilon,Initial Accuracy,Robust Accuracy,Max Perturbation
0.00392156862745098,57.03125,0.0,0.003921598196029663
0.00392156862745098,53.90625,0.0,0.003921598196029663
0.00392156862745098,53.90625,0.0,0.003921598196029663
0.00392156862745098,60.9375,0.0,0.003921598196029663
0.00392156862745098,58.59375,0.0,0.003921598196029663
0.00392156862745098,55.46875,0.0,0.003921598196029663
0.00392156862745098,63.28125,0.0,0.003921598196029663
0.00392156862745098,64.42307692307693,0.0,0.003921598196029663

Mean for Epsilon,Mean Initial Accuracy,Mean Robust Accuracy,Mean Max Perturbation
0.00392156862745098,58.44350961538461,0.0,0.003921598196029663
