Epsilon,Initial Accuracy,Robust Accuracy,Max Perturbation
0.00392156862745098,82.03125,0.0,0.003921598196029663
0.00392156862745098,79.6875,0.0,0.003921598196029663
0.00392156862745098,83.59375,0.0,0.003921598196029663
0.00392156862745098,87.5,0.0,0.003921598196029663
0.00392156862745098,87.5,0.78125,0.003921598196029663
0.00392156862745098,85.9375,0.0,0.003921598196029663
0.00392156862745098,81.25,0.0,0.003921598196029663
0.00392156862745098,92.96875,0.0,0.003921598196029663
0.00392156862745098,85.9375,0.0,0.003921598196029663
0.00392156862745098,83.59375,0.0,0.003921598196029663
0.00392156862745098,87.5,0.78125,0.003921598196029663
0.00392156862745098,84.375,0.0,0.003921598196029663
0.00392156862745098,82.8125,0.0,0.003921598196029663
0.00392156862745098,86.71875,0.0,0.003921598196029663
0.00392156862745098,89.84375,0.0,0.003921598196029663
0.00392156862745098,81.25,0.0,0.003921598196029663
0.00392156862745098,81.25,0.0,0.003921598196029663
0.00392156862745098,84.375,0.0,0.003921598196029663
0.00392156862745098,85.9375,0.0,0.003921598196029663
0.00392156862745098,80.46875,0.0,0.003921598196029663
0.00392156862745098,85.15625,0.0,0.003921598196029663
0.00392156862745098,82.03125,0.0,0.003921598196029663
0.00392156862745098,86.71875,0.0,0.003921598196029663
0.00392156862745098,90.625,0.0,0.003921598196029663
0.00392156862745098,85.9375,0.0,0.003921598196029663
0.00392156862745098,85.15625,0.0,0.003921598196029663
0.00392156862745098,78.90625,0.78125,0.003921598196029663
0.00392156862745098,82.03125,0.0,0.003921598196029663
0.00392156862745098,85.9375,0.0,0.003921598196029663
0.00392156862745098,79.6875,0.0,0.003921598196029663
0.00392156862745098,85.15625,0.0,0.003921598196029663
0.00392156862745098,85.9375,0.0,0.003921598196029663
0.00392156862745098,85.9375,0.0,0.003921598196029663
0.00392156862745098,92.96875,0.78125,0.003921598196029663
0.00392156862745098,87.5,0.0,0.003921598196029663
0.00392156862745098,82.8125,0.78125,0.003921598196029663
0.00392156862745098,81.25,0.0,0.003921598196029663
0.00392156862745098,86.71875,0.78125,0.003921598196029663
0.00392156862745098,82.8125,0.0,0.003921598196029663
0.00392156862745098,62.5,0.0,0.003921598196029663

Mean for Epsilon,Mean Initial Accuracy,Mean Robust Accuracy,Mean Max Perturbation
0.00392156862745098,84.2578125,0.1171875,0.003921598196029663
