Epsilon,Initial Accuracy,Robust Accuracy,Max Perturbation
0.01,82.03125,70.3125,0.010000168345868587
0.01,79.6875,62.5,0.010000183247029781
0.01,83.59375,73.4375,0.010000149719417095
0.01,87.5,74.21875,0.010000122711062431
0.01,87.5,76.5625,0.010000128298997879
0.01,85.9375,67.96875,0.010000143200159073
0.01,81.25,64.84375,0.01000022143125534
0.01,92.3076923076923,78.84615384615384,0.010000140406191349

Mean for Epsilon,Mean Initial Accuracy,Mean Robust Accuracy,Mean Max Perturbation
0.01,84.97596153846153,71.08623798076923,0.010000157169997692
